,indice_tiempo,salario_minimo_vital_movil_mensual
0,1965-01-01,9800.0
1,1965-02-01,9800.0
2,1965-03-01,9800.0
3,1965-04-01,9800.0
4,1965-05-01,11550.0
5,1965-06-01,11550.0
6,1965-07-01,11550.0
7,1965-08-01,11550.0
8,1965-09-01,11550.0
9,1965-10-01,11550.0
10,1965-11-01,13440.0
11,1965-12-01,13440.0
12,1966-01-01,13440.0
13,1966-02-01,13440.0
14,1966-03-01,13440.0
15,1966-04-01,13440.0
16,1966-05-01,15750.0
17,1966-06-01,15750.0
18,1966-07-01,15750.0
19,1966-08-01,15750.0
20,1966-09-01,15750.0
21,1966-10-01,15750.0
22,1966-11-01,15750.0
23,1966-12-01,15750.0
24,1967-01-01,15750.0
25,1967-02-01,15750.0
26,1967-03-01,15750.0
27,1967-04-01,15750.0
28,1967-05-01,15750.0
29,1967-06-01,15750.0
30,1967-07-01,15750.0
31,1967-08-01,15750.0
32,1967-09-01,15750.0
33,1967-10-01,15750.0
34,1967-11-01,15750.0
35,1967-12-01,15750.0
36,1968-01-01,15750.0
37,1968-02-01,15750.0
38,1968-03-01,15750.0
39,1968-04-01,15750.0
40,1968-05-01,15750.0
41,1968-06-01,15750.0
42,1968-07-01,15750.0
43,1968-08-01,15750.0
44,1968-09-01,15750.0
45,1968-10-01,15750.0
46,1968-11-01,15750.0
47,1968-12-01,15750.0
48,1969-01-01,20000.0
49,1969-02-01,20000.0
50,1969-03-01,20000.0
51,1969-04-01,20000.0
52,1969-05-01,20000.0
53,1969-06-01,20000.0
54,1969-07-01,20000.0
55,1969-08-01,20000.0
56,1969-09-01,20000.0
57,1969-10-01,20000.0
58,1969-11-01,20000.0
59,1969-12-01,20000.0
60,1970-01-01,220.0
61,1970-02-01,220.0
62,1970-03-01,220.0
63,1970-04-01,220.0
64,1970-05-01,220.0
65,1970-06-01,220.0
66,1970-07-01,220.0
67,1970-08-01,220.0
68,1970-09-01,220.0
69,1970-10-01,220.0
70,1970-11-01,220.0
71,1970-12-01,220.0
72,1971-01-01,300.0
73,1971-02-01,300.0
74,1971-03-01,300.0
75,1971-04-01,300.0
76,1971-05-01,300.0
77,1971-06-01,300.0
78,1971-07-01,300.0
79,1971-08-01,300.0
80,1971-09-01,350.0
81,1971-10-01,350.0
82,1971-11-01,350.0
83,1971-12-01,350.0
84,1972-01-01,400.0
85,1972-02-01,400.0
86,1972-03-01,400.0
87,1972-04-01,400.0
88,1972-05-01,450.0
89,1972-06-01,450.0
90,1972-07-01,450.0
91,1972-08-01,450.0
92,1972-09-01,450.0
93,1972-10-01,500.0
94,1972-11-01,500.0
95,1972-12-01,500.0
96,1973-01-01,500.0
97,1973-02-01,500.0
98,1973-03-01,700.0
99,1973-04-01,700.0
100,1973-05-01,700.0
101,1973-06-01,1000.0
102,1973-07-01,1000.0
103,1973-08-01,1000.0
104,1973-09-01,1000.0
105,1973-10-01,1000.0
106,1973-11-01,1000.0
107,1973-12-01,1000.0
108,1974-01-01,1000.0
109,1974-02-01,1000.0
110,1974-03-01,1000.0
111,1974-04-01,1300.0
112,1974-05-01,1300.0
113,1974-06-01,1300.0
114,1974-07-01,1300.0
115,1974-08-01,1300.0
116,1974-09-01,1300.0
117,1974-10-01,1300.0
118,1974-11-01,1600.0
119,1974-12-01,1600.0
120,1975-01-01,1600.0
121,1975-02-01,1600.0
122,1975-03-01,2000.0
123,1975-04-01,2000.0
124,1975-05-01,2000.0
125,1975-06-01,3300.0
126,1975-07-01,3300.0
127,1975-08-01,3300.0
128,1975-09-01,3300.0
129,1975-10-01,3300.0
130,1975-11-01,3300.0
131,1975-12-01,3300.0
132,1976-01-01,3300.0
133,1976-02-01,3300.0
134,1976-03-01,3300.0
135,1976-04-01,3300.0
136,1976-05-01,3300.0
137,1976-06-01,10000.0
138,1976-07-01,10000.0
139,1976-08-01,10000.0
140,1976-09-01,11200.0
141,1976-10-01,11200.0
142,1976-11-01,11200.0
143,1976-12-01,11200.0
144,1977-01-01,14000.0
145,1977-02-01,14000.0
146,1977-03-01,14000.0
147,1977-04-01,14000.0
148,1977-05-01,14000.0
149,1977-06-01,14000.0
150,1977-07-01,22500.0
151,1977-08-01,22500.0
152,1977-09-01,22500.0
153,1977-10-01,30000.0
154,1977-11-01,30000.0
155,1977-12-01,30000.0
156,1978-01-01,30000.0
157,1978-02-01,30000.0
158,1978-03-01,30000.0
159,1978-04-01,30000.0
160,1978-05-01,30000.0
161,1978-06-01,30000.0
162,1978-07-01,30000.0
163,1978-08-01,60000.0
164,1978-09-01,60000.0
165,1978-10-01,60000.0
166,1978-11-01,60000.0
167,1978-12-01,90000.0
168,1979-01-01,93600.0
169,1979-02-01,97344.0
170,1979-03-01,101238.0
171,1979-04-01,105288.0
172,1979-05-01,109500.0
173,1979-06-01,113880.0
174,1979-07-01,118435.0
175,1979-08-01,123172.0
176,1979-09-01,172500.0
177,1979-10-01,179400.0
178,1979-11-01,186576.0
179,1979-12-01,194039.0
180,1980-01-01,250000.0
181,1980-02-01,260000.0
182,1980-03-01,270400.0
183,1980-04-01,281216.0
184,1980-05-01,292464.0
185,1980-06-01,304163.0
186,1980-07-01,316329.0
187,1980-08-01,328982.0
188,1980-09-01,342142.0
189,1980-10-01,355827.0
190,1980-11-01,370061.0
191,1980-12-01,384868.0
192,1981-01-01,394486.0
193,1981-02-01,404348.0
194,1981-03-01,414457.0
195,1981-04-01,424818.0
196,1981-05-01,435438.0
197,1981-06-01,587841.0
198,1981-07-01,646625.0
199,1981-08-01,678956.0
200,1981-09-01,712904.0
201,1981-10-01,891130.0
202,1981-11-01,935687.0
203,1981-12-01,982471.0
204,1982-01-01,982471.0
205,1982-02-01,982471.0
206,1982-03-01,982471.0
207,1982-04-01,982471.0
208,1982-05-01,982471.0
209,1982-06-01,982471.0
210,1982-07-01,1382500.0
211,1982-08-01,1382500.0
212,1982-09-01,2800000.0
213,1982-10-01,2800000.0
214,1982-11-01,2800000.0
215,1982-12-01,4000000.0
216,1983-01-01,5000000.0
217,1983-02-01,5000000.0
218,1983-03-01,5000000.0
219,1983-04-01,7000000.0
220,1983-05-01,7000000.0
221,1983-06-01,700.0
222,1983-07-01,1100.0
223,1983-08-01,1100.0
224,1983-09-01,1600.0
225,1983-10-01,1800.0
226,1983-11-01,1800.0
227,1983-12-01,2800.0
228,1984-01-01,3136.0
229,1984-02-01,3700.0
230,1984-03-01,4451.0
231,1984-04-01,5030.0
232,1984-05-01,5483.0
233,1984-06-01,6251.0
234,1984-07-01,8500.0
235,1984-08-01,13000.0
236,1984-09-01,15080.0
237,1984-10-01,15080.0
238,1984-11-01,15080.0
239,1984-12-01,15080.0
240,1985-01-01,20000.0
241,1985-02-01,24000.0
242,1985-03-01,28968.0
243,1985-04-01,36644.0
244,1985-05-01,47454.0
245,1985-06-01,59365.0
246,1985-07-01,59.37
247,1985-08-01,59.37
248,1985-09-01,59.37
249,1985-10-01,59.37
250,1985-11-01,59.37
251,1985-12-01,59.37
252,1986-01-01,70.0
253,1986-02-01,70.0
254,1986-03-01,70.0
255,1986-04-01,80.0
256,1986-05-01,80.0
257,1986-06-01,80.0
258,1986-07-01,93.0
259,1986-08-01,93.0
260,1986-09-01,93.0
261,1986-10-01,110.0
262,1986-11-01,110.0
263,1986-12-01,110.0
264,1987-01-01,150.0
265,1987-02-01,150.0
266,1987-03-01,170.0
267,1987-04-01,170.0
268,1987-05-01,200.0
269,1987-06-01,200.0
270,1987-07-01,200.0
271,1987-08-01,200.0
272,1987-09-01,200.0
273,1987-10-01,350.0
274,1987-11-01,350.0
275,1987-12-01,350.0
276,1988-01-01,350.0
277,1988-02-01,350.0
278,1988-03-01,350.0
279,1988-04-01,520.0
280,1988-05-01,520.0
281,1988-06-01,680.0
282,1988-07-01,680.0
283,1988-08-01,924.0
284,1988-09-01,924.0
285,1988-10-01,1310.0
